V160001,clinton,trump,pid7,pid3,ideo7,education,income,feeldem,feelrep
300001,0,85,7,(2) 2. Republican,6,9,13,0,70
300002,0,85,6,(2) 2. Republican,5,13,17,15,85
300003,50,60,3,(3) 3. Independent,NA,9,6,50,50
300004,0,60,5,(0) 0. No preference (FTF ONLY),6,9,20,30,70
300006,15,0,3,(3) 3. Independent,4,9,3,70,40
300007,0,50,5,(0) 0. No preference (FTF ONLY),7,14,1,15,30
300008,85,0,1,(1) 1. Democrat,NA,5,22,85,15
300012,15,85,4,(3) 3. Independent,4,9,28,0,40
300018,15,60,5,(3) 3. Independent,5,9,12,15,60
300020,60,50,3,(3) 3. Independent,2,10,19,50,50
300021,0,50,5,(3) 3. Independent,,7,11,0,60
300023,85,0,3,(3) 3. Independent,,10,14,85,30
300026,40,30,5,(5) 5. Other party SPECIFY,5,13,24,40,70
300030,0,85,2,(1) 1. Democrat,6,12,14,15,50
300034,85,0,1,(1) 1. Democrat,3,14,10,85,30
300038,50,60,1,(1) 1. Democrat,NA,9,3,60,50
300039,85,0,1,(1) 1. Democrat,2,14,27,70,15
300040,40,100,7,(2) 2. Republican,6,13,16,30,70
300041,85,0,1,(1) 1. Democrat,3,14,26,70,15
300042,15,15,6,(2) 2. Republican,6,10,22,40,60
300045,0,85,6,(2) 2. Republican,5,9,20,15,70
300046,10,90,6,(2) 2. Republican,3,12,3,40,80
300047,60,0,5,(0) 0. No preference (FTF ONLY),NA,10,,50,15
300049,30,60,5,(0) 0. No preference (FTF ONLY),6,14,15,40,60
300050,0,60,5,(3) 3. Independent,6,8,13,15,40
300051,0,70,5,(3) 3. Independent,NA,7,9,50,50
300053,15,40,4,(3) 3. Independent,2,13,,50,60
300056,40,70,4,(3) 3. Independent,4,9,17,50,50
300058,85,0,3,(3) 3. Independent,1,14,17,85,15
300059,40,40,4,(3) 3. Independent,6,9,22,30,50
300062,40,60,2,(1) 1. Democrat,2,14,22,70,70
300064,0,85,7,(2) 2. Republican,,13,24,0,15
300070,0,100,7,(2) 2. Republican,6,10,,0,85
300072,0,100,5,(3) 3. Independent,6,13,17,0,60
300073,40,40,6,(2) 2. Republican,4,13,11,40,50
300082,70,15,2,(1) 1. Democrat,2,16,6,60,40
300085,40,60,3,(3) 3. Independent,,9,7,60,30
300092,0,85,7,(2) 2. Republican,3,11,21,15,85
300093,100,85,3,(3) 3. Independent,4,4,5,60,85
300094,60,0,2,(1) 1. Democrat,3,10,21,85,30
300098,30,80,5,(3) 3. Independent,6,8,,40,80
300099,0,60,7,(2) 2. Republican,5,11,9,15,70
300100,100,0,1,(1) 1. Democrat,2,13,19,100,0
300103,0,100,7,(2) 2. Republican,7,11,14,0,100
300106,0,70,5,(3) 3. Independent,5,12,14,0,60
300107,85,0,2,(1) 1. Democrat,2,13,26,60,30
300109,60,60,4,(3) 3. Independent,4,13,13,60,60
300111,0,70,5,(3) 3. Independent,NA,11,17,30,85
300113,60,40,1,(1) 1. Democrat,2,17,24,70,40
300116,70,40,2,(1) 1. Democrat,,8,1,85,60
300119,50,0,3,(3) 3. Independent,,11,1,85,15
300121,70,30,1,(1) 1. Democrat,3,14,22,85,40
300123,0,85,6,(2) 2. Republican,,12,14,30,40
300124,15,85,6,(2) 2. Republican,6,11,26,30,70
300131,85,15,1,(1) 1. Democrat,2,16,27,70,15
300135,70,30,3,(3) 3. Independent,2,12,14,70,60
300136,,,5,(5) 5. Other party SPECIFY,5,2,6,,
300137,85,0,1,(1) 1. Democrat,4,13,1,85,15
300140,85,0,1,(1) 1. Democrat,2,13,19,70,15
300142,40,70,5,(3) 3. Independent,4,9,14,30,70
300143,70,0,1,(1) 1. Democrat,4,10,,85,30
300144,85,0,1,(1) 1. Democrat,NA,10,7,85,40
300146,50,50,5,(3) 3. Independent,NA,13,17,50,50
300148,30,40,6,(2) 2. Republican,4,13,27,30,50
300150,70,0,1,(1) 1. Democrat,,9,3,40,40
300151,85,0,3,(3) 3. Independent,,11,5,70,40
300152,85,0,1,(1) 1. Democrat,2,14,27,85,30
300153,0,60,5,(3) 3. Independent,3,9,11,40,40
300154,60,40,5,(3) 3. Independent,NA,9,3,60,40
300155,60,15,1,(1) 1. Democrat,2,12,13,70,30
300161,85,0,2,(1) 1. Democrat,NA,7,8,60,50
300165,85,15,1,(1) 1. Democrat,NA,14,18,85,15
300168,85,0,1,(1) 1. Democrat,NA,10,20,70,15
300169,60,15,3,(3) 3. Independent,2,13,3,70,40
300170,60,0,2,(1) 1. Democrat,NA,7,4,85,30
300171,70,0,6,(2) 2. Republican,4,9,12,50,85
300172,0,8,5,(3) 3. Independent,6,10,23,30,60
300175,75,20,3,(3) 3. Independent,3,10,15,30,15
300176,40,40,5,(3) 3. Independent,NA,9,9,50,50
300177,85,0,2,(1) 1. Democrat,4,9,4,100,0
300179,15,70,5,(3) 3. Independent,,13,15,30,60
300180,70,70,,,6,12,1,75,75
300181,60,0,1,(1) 1. Democrat,NA,9,11,70,50
300182,60,15,1,(1) 1. Democrat,6,13,12,85,0
300184,50,0,3,(3) 3. Independent,4,13,26,40,30
300185,50,10,3,(0) 0. No preference (FTF ONLY),3,13,3,75,10
300186,40,0,3,(3) 3. Independent,2,14,12,60,30
300187,0,60,5,(3) 3. Independent,NA,16,25,15,15
300188,15,85,7,(2) 2. Republican,5,9,15,50,100
300195,15,60,7,(2) 2. Republican,,10,24,0,40
300196,15,85,7,(2) 2. Republican,,13,16,30,60
300198,85,0,2,(1) 1. Democrat,2,12,1,85,0
300200,70,50,2,(1) 1. Democrat,,9,,70,60
300204,90,0,1,(1) 1. Democrat,2,10,24,95,10
300207,0,40,5,(3) 3. Independent,5,13,15,40,40
300209,60,30,6,(2) 2. Republican,5,9,22,50,60
300210,0,100,7,(2) 2. Republican,,9,24,0,100
300212,70,40,1,(1) 1. Democrat,,4,6,70,50
300215,50,50,4,(0) 0. No preference (FTF ONLY),4,14,14,40,40
300217,15,70,6,(2) 2. Republican,6,12,24,30,70
300222,85,0,1,(1) 1. Democrat,2,13,26,85,15
300224,85,0,1,(1) 1. Democrat,4,13,24,85,0
300227,60,70,4,(3) 3. Independent,4,9,22,50,50
300228,90,0,1,(1) 1. Democrat,2,13,12,85,30
300230,,70,7,(2) 2. Republican,2,8,,15,50
300232,40,70,1,(1) 1. Democrat,NA,3,1,70,50
300234,30,30,3,(3) 3. Independent,3,13,27,40,30
300235,70,0,6,(2) 2. Republican,4,9,17,70,70
300237,70,60,3,(3) 3. Independent,4,11,7,100,0
300238,60,40,3,(3) 3. Independent,5,9,5,70,70
300240,0,50,5,(3) 3. Independent,NA,10,15,40,60
300242,15,70,5,(3) 3. Independent,4,10,25,15,85
300244,30,30,5,(3) 3. Independent,5,13,14,40,60
300245,50,50,3,(3) 3. Independent,NA,10,24,50,50
300246,70,15,2,(1) 1. Democrat,NA,9,12,70,40
300248,0,70,4,(5) 5. Other party SPECIFY,5,9,11,0,60
300250,0,70,5,(3) 3. Independent,5,9,22,30,60
300252,60,15,1,(1) 1. Democrat,NA,13,17,85,50
300254,30,30,1,(1) 1. Democrat,NA,9,13,100,0
300255,40,60,6,(2) 2. Republican,NA,10,14,40,60
300256,0,85,5,(0) 0. No preference (FTF ONLY),3,11,1,50,50
300259,45,65,7,(2) 2. Republican,,11,22,2,85
300261,15,40,5,(3) 3. Independent,4,9,17,15,40
300264,30,30,5,(0) 0. No preference (FTF ONLY),,11,,50,50
300267,0,70,6,(2) 2. Republican,6,9,13,0,70
300269,70,40,6,(2) 2. Republican,3,12,11,60,60
300270,85,0,3,(3) 3. Independent,3,13,24,60,30
300273,15,60,6,(2) 2. Republican,5,10,1,40,60
300276,0,0,5,(3) 3. Independent,4,11,23,50,60
300278,0,100,5,(3) 3. Independent,5,9,20,30,70
300279,85,0,1,(1) 1. Democrat,4,9,1,100,
300280,30,0,3,(3) 3. Independent,3,17,1,40,15
300282,85,40,3,(3) 3. Independent,NA,9,11,70,70
300284,0,100,7,(2) 2. Republican,6,11,13,0,100
300289,30,30,3,(3) 3. Independent,2,13,25,60,40
300297,50,15,1,(1) 1. Democrat,4,13,25,60,50
300299,40,0,3,(3) 3. Independent,1,13,3,65,35
300303,30,30,6,(2) 2. Republican,NA,13,7,40,60
300304,0,70,7,(2) 2. Republican,6,10,3,40,85
300307,0,60,5,(3) 3. Independent,6,9,18,30,70
300312,70,0,1,(1) 1. Democrat,2,14,16,85,0
300313,0,60,7,(2) 2. Republican,6,14,5,50,60
300317,85,0,1,(1) 1. Democrat,,9,,90,20
300322,15,60,4,(0) 0. No preference (FTF ONLY),NA,10,5,50,50
300325,85,15,2,(1) 1. Democrat,2,7,5,70,30
300326,70,0,1,(1) 1. Democrat,2,13,15,60,15
300327,30,70,7,(2) 2. Republican,,9,11,50,60
300333,0,60,4,(3) 3. Independent,,9,1,15,40
300334,70,0,1,(1) 1. Democrat,5,13,14,85,30
300335,60,30,3,(3) 3. Independent,3,13,21,85,0
300336,85,0,1,(1) 1. Democrat,NA,4,2,100,50
300339,85,0,1,(1) 1. Democrat,2,13,26,85,15
300342,30,15,5,(3) 3. Independent,NA,10,22,40,60
300343,70,30,2,(1) 1. Democrat,2,9,12,70,15
300344,70,15,1,(1) 1. Democrat,2,13,12,70,15
300345,0,100,5,(3) 3. Independent,4,10,20,30,40
300352,40,70,5,(3) 3. Independent,4,11,10,60,60
300360,40,60,2,(1) 1. Democrat,4,10,15,70,15
300361,15,70,5,(3) 3. Independent,5,11,,40,40
300363,0,60,5,(3) 3. Independent,6,11,19,0,15
300364,85,15,1,(1) 1. Democrat,2,14,20,70,50
300371,70,0,1,(1) 1. Democrat,1,13,8,90,0
300375,0,100,2,(1) 1. Democrat,,8,7,0,70
300376,60,0,3,(3) 3. Independent,2,13,19,40,40
300377,85,50,1,(1) 1. Democrat,NA,9,17,70,50
300383,0,0,7,(2) 2. Republican,5,9,22,40,60
300386,50,70,4,(3) 3. Independent,4,10,7,50,50
300387,0,70,5,(3) 3. Independent,6,13,,30,50
300389,60,15,2,(1) 1. Democrat,5,14,21,60,40
300393,0,85,7,(2) 2. Republican,,10,23,0,85
300398,70,0,2,(1) 1. Democrat,4,10,9,70,0
300400,0,70,7,(2) 2. Republican,6,13,25,15,60
300402,15,70,7,(2) 2. Republican,NA,12,12,0,70
300403,0,0,5,(3) 3. Independent,4,10,3,50,50
300404,70,0,1,(1) 1. Democrat,2,14,28,70,15
300406,85,0,1,(1) 1. Democrat,NA,9,14,85,0
300408,15,85,7,(2) 2. Republican,7,13,13,50,70
300423,40,1,4,(0) 0. No preference (FTF ONLY),,13,17,85,50
300424,100,50,1,(1) 1. Democrat,7,9,2,100,70
300434,40,70,4,(0) 0. No preference (FTF ONLY),,9,21,70,70
300437,60,50,2,(1) 1. Democrat,3,12,16,60,50
300448,40,50,5,,5,10,11,50,50
300450,40,60,3,(3) 3. Independent,3,13,22,40,40
300453,15,40,5,(3) 3. Independent,4,13,27,15,40
300454,60,30,1,(1) 1. Democrat,NA,9,13,85,60
300456,100,0,2,(1) 1. Democrat,NA,10,9,100,0
300458,5,0,3,(0) 0. No preference (FTF ONLY),NA,4,5,85,60
300460,100,15,2,(1) 1. Democrat,,8,1,85,40
300465,50,100,6,(2) 2. Republican,NA,9,1,30,100
300467,0,70,7,(2) 2. Republican,6,12,18,30,60
300473,0,70,6,(2) 2. Republican,,9,1,0,100
300475,14,35,6,(2) 2. Republican,6,12,3,15,49
300477,0,0,6,(2) 2. Republican,6,12,18,0,30
300482,70,15,1,(1) 1. Democrat,2,9,11,70,15
300488,30,40,3,(3) 3. Independent,5,9,14,70,60
300493,30,0,4,(3) 3. Independent,4,11,3,50,50
300495,70,0,3,(3) 3. Independent,4,10,7,40,15
300497,70,30,5,(3) 3. Independent,NA,7,8,40,50
300499,70,15,1,(1) 1. Democrat,2,13,23,85,30
300500,15,85,7,(2) 2. Republican,,12,25,70,70
300501,25,75,7,(2) 2. Republican,7,7,7,0,75
300503,0,100,7,(2) 2. Republican,6,13,26,0,100
300504,60,30,4,(3) 3. Independent,,10,22,50,50
300517,70,85,5,(3) 3. Independent,6,13,27,40,30
300518,0,40,6,(2) 2. Republican,7,12,21,15,60
300522,0,60,7,(2) 2. Republican,6,11,25,30,60
300526,40,40,6,(2) 2. Republican,4,13,15,40,60
300534,60,0,7,(2) 2. Republican,6,14,26,50,30
300540,70,30,3,(3) 3. Independent,5,9,9,70,50
300541,85,50,3,(5) 5. Other party SPECIFY,4,9,22,70,70
300542,85,0,1,(1) 1. Democrat,3,13,11,100,0
300543,0,30,5,(3) 3. Independent,4,13,17,15,40
300545,100,0,1,(1) 1. Democrat,2,14,16,100,0
300546,0,0,5,(3) 3. Independent,6,14,25,15,60
300547,70,50,5,(3) 3. Independent,4,10,2,60,70
300549,0,0,2,(1) 1. Democrat,NA,11,9,60,60
300552,0,85,7,(2) 2. Republican,6,9,20,15,85
300554,85,0,1,(1) 1. Democrat,1,14,21,85,0
300555,15,70,6,(2) 2. Republican,NA,10,22,30,70
300558,50,0,2,(1) 1. Democrat,2,13,9,60,15
300559,0,85,1,(1) 1. Democrat,4,12,14,15,15
300561,0,30,7,(2) 2. Republican,,13,1,30,70
300565,0,30,5,(3) 3. Independent,5,14,23,15,60
300566,60,0,4,(3) 3. Independent,4,9,17,50,50
300569,0,70,5,(5) 5. Other party SPECIFY,6,11,13,10,40
300571,30,70,7,(2) 2. Republican,6,14,22,35,65
300572,0,60,7,(2) 2. Republican,7,14,13,30,60
300574,50,50,6,(2) 2. Republican,,10,1,50,50
300575,40,90,7,(2) 2. Republican,7,13,1,60,40
300578,50,60,5,(3) 3. Independent,NA,9,9,50,50
300581,70,0,4,(3) 3. Independent,5,13,19,60,60
300583,70,15,3,(3) 3. Independent,2,14,28,70,30
300586,70,30,4,(3) 3. Independent,,14,17,60,60
300587,100,0,1,(1) 1. Democrat,5,11,13,85,0
300589,0,70,7,(2) 2. Republican,6,14,24,15,60
300597,30,40,5,(3) 3. Independent,4,13,22,40,40
300600,40,30,6,(2) 2. Republican,,13,,30,60
300601,0,100,7,(2) 2. Republican,NA,10,21,0,100
300603,0,85,7,(2) 2. Republican,,13,22,0,60
300605,0,100,7,(2) 2. Republican,7,14,,15,60
300609,60,85,5,(3) 3. Independent,4,8,2,60,60
300610,70,0,1,(1) 1. Democrat,2,10,,100,0
300611,100,30,6,(2) 2. Republican,NA,9,13,40,60
300612,50,15,3,(3) 3. Independent,3,10,27,70,60
300614,0,50,5,(3) 3. Independent,5,9,,30,50
300617,40,15,6,(2) 2. Republican,5,12,23,40,60
300620,100,0,1,(1) 1. Democrat,1,13,15,100,0
300621,15,85,7,(2) 2. Republican,,13,25,40,85
300622,40,0,3,(3) 3. Independent,2,10,5,60,0
300628,15,50,6,(2) 2. Republican,6,9,25,0,0
300629,5,0,1,(1) 1. Democrat,NA,7,17,5,0
300632,60,15,4,(3) 3. Independent,,12,21,60,50
300633,70,40,1,(1) 1. Democrat,5,14,21,90,70
300634,60,60,3,(3) 3. Independent,,12,24,60,40
300636,60,70,5,(3) 3. Independent,5,13,21,40,60
300637,100,0,4,(3) 3. Independent,NA,11,9,50,50
300638,40,15,5,(3) 3. Independent,,16,17,30,30
300641,100,0,1,(1) 1. Democrat,3,10,23,100,30
300642,70,0,3,(0) 0. No preference (FTF ONLY),,17,,40,30
300644,50,60,4,(3) 3. Independent,NA,13,3,50,60
300655,100,0,1,(1) 1. Democrat,2,13,14,85,0
300656,70,70,2,(1) 1. Democrat,4,13,3,60,60
300657,40,0,3,(0) 0. No preference (FTF ONLY),2,14,24,50,50
300658,0,70,7,(2) 2. Republican,6,9,23,30,85
300660,30,50,,(2) 2. Republican,6,10,28,40,60
300663,0,85,7,(2) 2. Republican,6,9,7,15,85
300674,100,0,5,(3) 3. Independent,5,7,,,70
300675,70,60,2,(1) 1. Democrat,4,9,7,85,50
300676,60,0,4,(0) 0. No preference (FTF ONLY),NA,12,13,85,15
300677,50,0,5,(3) 3. Independent,NA,5,3,50,50
300679,15,0,2,(1) 1. Democrat,3,9,13,85,30
300680,50,100,1,(1) 1. Democrat,NA,9,17,100,50
300687,0,100,7,(2) 2. Republican,6,13,,0,100
300693,70,15,2,(1) 1. Democrat,3,10,11,85,60
300694,85,0,1,(1) 1. Democrat,2,9,,70,15
300695,60,0,1,(1) 1. Democrat,4,10,3,85,15
300696,0,70,7,(2) 2. Republican,6,12,24,0,60
300699,50,70,6,(2) 2. Republican,6,7,20,40,60
300702,50,40,4,(3) 3. Independent,4,13,12,50,50
300703,0,50,7,(2) 2. Republican,6,10,9,30,50
300704,70,15,2,(1) 1. Democrat,4,14,15,50,50
300705,0,85,7,(2) 2. Republican,6,9,17,15,85
300706,60,60,3,(3) 3. Independent,4,13,25,30,30
300709,60,60,2,(1) 1. Democrat,4,6,12,60,60
300711,96,50,2,(1) 1. Democrat,3,9,8,70,50
300717,15,60,7,(2) 2. Republican,6,13,22,30,60
300719,85,0,1,(1) 1. Democrat,,14,1,85,30
300721,0,40,6,(2) 2. Republican,6,9,17,0,40
300723,0,100,7,(2) 2. Republican,,10,26,15,85
300724,30,60,3,(3) 3. Independent,3,12,23,60,40
300726,0,0,3,(3) 3. Independent,NA,9,13,,
300727,100,,1,(1) 1. Democrat,NA,4,3,75,
300731,50,50,2,(1) 1. Democrat,NA,9,15,70,50
300732,85,60,1,(1) 1. Democrat,NA,9,9,60,50
300734,10,30,3,(3) 3. Independent,4,10,7,50,20
300735,0,70,7,(2) 2. Republican,5,11,24,15,70
300736,15,15,6,(2) 2. Republican,4,9,12,0,50
300739,60,0,2,(1) 1. Democrat,3,9,6,50,50
300740,60,50,3,(3) 3. Independent,NA,3,19,60,40
300743,100,0,1,(1) 1. Democrat,5,9,1,100,0
300745,15,40,4,(3) 3. Independent,5,10,15,30,30
300747,0,100,7,(2) 2. Republican,5,11,13,0,100
300749,85,0,3,(3) 3. Independent,3,13,14,100,0
300750,15,40,5,(5) 5. Other party SPECIFY,4,10,22,40,40
300751,50,15,4,(3) 3. Independent,NA,9,4,50,50
300753,30,85,6,(2) 2. Republican,,13,23,30,70
300757,20,50,5,(3) 3. Independent,4,9,9,50,70
300759,15,85,6,(2) 2. Republican,4,13,11,50,50
300766,65,10,3,(3) 3. Independent,NA,6,9,60,60
300768,30,70,6,(2) 2. Republican,4,13,19,40,60
300769,60,50,2,(1) 1. Democrat,NA,8,2,60,50
300770,15,70,4,(3) 3. Independent,5,10,11,40,60
300774,40,85,7,(2) 2. Republican,,8,26,40,85
300775,40,85,7,(2) 2. Republican,6,9,,15,60
300779,80,20,1,(1) 1. Democrat,,9,11,70,50
300780,0,85,7,(2) 2. Republican,6,13,25,15,85
300784,60,15,6,(2) 2. Republican,4,14,22,70,70
300785,15,100,7,(2) 2. Republican,7,12,8,30,100
300789,50,0,2,(1) 1. Democrat,5,13,22,50,50
300790,85,40,3,(3) 3. Independent,,9,21,70,40
300792,70,0,3,(3) 3. Independent,2,13,28,60,60
300795,60,60,2,(1) 1. Democrat,4,9,10,70,50
300796,85,0,3,(3) 3. Independent,3,14,14,70,40
300798,40,15,3,(3) 3. Independent,3,14,22,60,30
300799,40,0,3,(0) 0. No preference (FTF ONLY),3,13,26,60,40
300807,15,15,7,(2) 2. Republican,6,14,24,30,70
300808,0,100,7,(2) 2. Republican,7,13,25,0,85
300812,0,40,5,(3) 3. Independent,6,12,1,60,60
300813,30,70,5,(3) 3. Independent,5,11,19,30,70
300816,40,0,3,(3) 3. Independent,3,13,3,40,30
300819,40,0,3,(5) 5. Other party SPECIFY,,13,19,40,30
300820,20,75,7,(2) 2. Republican,6,10,17,40,85
300821,85,0,1,(1) 1. Democrat,NA,11,5,85,50
300827,85,0,1,(1) 1. Democrat,6,9,7,100,0
300831,60,30,1,(1) 1. Democrat,3,7,12,70,40
300833,50,10,2,(1) 1. Democrat,2,12,5,50,10
300839,60,40,3,(5) 5. Other party SPECIFY,4,13,22,60,55
300847,85,0,3,(3) 3. Independent,3,13,27,40,15
300850,85,15,6,(2) 2. Republican,6,14,,60,40
300853,70,0,4,(3) 3. Independent,1,12,9,15,0
300855,70,50,3,(3) 3. Independent,4,11,19,70,60
300857,15,0,4,(3) 3. Independent,,10,20,60,40
300859,0,15,4,(0) 0. No preference (FTF ONLY),NA,12,7,40,50
300860,70,0,1,(1) 1. Democrat,2,14,13,85,30
300864,0,100,7,(2) 2. Republican,7,11,6,0,100
300869,0,100,7,(2) 2. Republican,7,13,1,0,60
300872,60,3,2,(1) 1. Democrat,,9,5,,
300873,0,70,7,(2) 2. Republican,6,10,,0,100
300874,100,0,3,(3) 3. Independent,NA,9,2,85,85
300875,70,0,3,(3) 3. Independent,4,13,28,60,30
300881,70,10,2,(1) 1. Democrat,NA,12,1,50,50
300882,15,30,5,(3) 3. Independent,5,13,23,30,30
300883,70,0,1,(1) 1. Democrat,,15,28,60,15
300885,85,40,2,(1) 1. Democrat,4,13,14,85,40
300887,30,70,7,(2) 2. Republican,6,13,24,30,30
300890,0,30,7,(2) 2. Republican,6,10,28,0,85
300893,0,85,7,(2) 2. Republican,,14,26,30,70
300895,50,0,6,(2) 2. Republican,4,14,3,60,70
300898,60,0,1,(1) 1. Democrat,3,16,27,70,30
300900,15,70,7,(2) 2. Republican,6,8,15,40,85
300901,60,0,2,(1) 1. Democrat,2,10,12,40,0
300906,100,60,2,(1) 1. Democrat,,9,15,100,70
300910,40,70,5,(3) 3. Independent,5,15,20,40,60
300911,70,0,1,(1) 1. Democrat,1,13,23,70,15
300912,0,85,5,(0) 0. No preference (FTF ONLY),,13,1,15,70
300916,60,60,4,(0) 0. No preference (FTF ONLY),NA,9,3,50,50
300917,40,30,3,(3) 3. Independent,3,13,8,40,40
300920,70,15,4,(0) 0. No preference (FTF ONLY),5,11,8,60,0
300921,70,40,2,(1) 1. Democrat,4,14,20,70,60
300924,100,0,1,(1) 1. Democrat,6,12,9,70,30
300925,15,70,6,(2) 2. Republican,6,15,27,10,60
300926,40,30,2,(1) 1. Democrat,3,14,28,70,30
300927,85,30,1,(1) 1. Democrat,NA,9,15,85,30
300928,15,85,6,(2) 2. Republican,5,10,20,15,15
300930,70,0,2,(1) 1. Democrat,3,8,8,60,50
300931,70,0,1,(1) 1. Democrat,6,3,14,70,40
300935,85,0,3,(5) 5. Other party SPECIFY,2,14,25,70,15
300937,40,60,6,(2) 2. Republican,5,13,22,40,60
300940,85,0,3,(3) 3. Independent,1,15,24,40,30
300947,0,85,5,(3) 3. Independent,6,13,,0,30
300953,85,0,1,(1) 1. Democrat,NA,13,14,70,30
300956,0,85,6,(2) 2. Republican,6,9,14,0,70
300963,85,0,1,(1) 1. Democrat,NA,13,,75,60
300968,85,0,1,(1) 1. Democrat,2,12,15,70,30
300970,0,85,7,(2) 2. Republican,7,9,9,0,100
300973,100,0,1,(1) 1. Democrat,NA,13,16,100,0
300976,40,15,3,(3) 3. Independent,4,14,27,70,30
300977,0,15,5,(3) 3. Independent,5,13,,15,60
300979,30,60,7,(2) 2. Republican,6,12,16,15,70
300982,40,0,5,(3) 3. Independent,5,14,27,40,50
300983,15,85,5,(3) 3. Independent,5,14,28,30,70
300991,0,100,7,(2) 2. Republican,4,9,13,0,100
300994,50,60,6,(2) 2. Republican,4,9,6,60,50
301000,50,50,3,(3) 3. Independent,4,11,20,70,85
301006,10,0,1,(1) 1. Democrat,2,13,12,85,0
301007,0,70,7,(2) 2. Republican,6,13,28,0,70
301008,100,0,1,(1) 1. Democrat,NA,11,5,100,30
301010,15,50,7,(2) 2. Republican,6,11,28,15,15
301011,0,60,5,(3) 3. Independent,NA,13,2,70,70
301014,15,85,6,(2) 2. Republican,6,11,8,15,85
301018,0,85,5,(3) 3. Independent,4,13,1,30,85
301019,85,15,1,(1) 1. Democrat,3,11,16,85,30
301020,85,0,2,(1) 1. Democrat,2,13,13,70,15
301023,0,85,6,(2) 2. Republican,4,7,6,50,60
301024,15,85,5,(3) 3. Independent,6,10,22,30,70
301026,70,15,2,(1) 1. Democrat,2,12,20,70,40
301028,70,0,2,(1) 1. Democrat,3,9,11,70,15
301030,40,15,3,(3) 3. Independent,3,13,21,50,30
301033,40,70,5,(3) 3. Independent,4,10,28,40,70
301034,85,15,3,(3) 3. Independent,2,13,14,70,30
301043,50,50,3,(3) 3. Independent,NA,8,12,80,50
301045,60,0,4,(3) 3. Independent,NA,11,7,50,50
301047,0,50,7,(2) 2. Republican,4,9,16,0,60
301049,0,85,7,(2) 2. Republican,NA,13,16,30,80
301052,70,30,1,(1) 1. Democrat,NA,8,13,85,30
301056,85,50,2,(1) 1. Democrat,,14,28,100,60
301059,100,0,3,(3) 3. Independent,4,10,3,70,60
301060,85,0,1,(1) 1. Democrat,NA,10,18,85,60
301061,15,60,5,(3) 3. Independent,NA,9,7,30,30
301064,70,15,2,(1) 1. Democrat,NA,10,2,85,0
301065,30,0,4,(3) 3. Independent,NA,10,11,30,30
301068,60,85,6,(2) 2. Republican,NA,8,4,50,60
301070,85,0,2,(1) 1. Democrat,3,14,26,70,15
301071,0,60,7,(2) 2. Republican,,13,1,0,60
301073,60,30,1,(1) 1. Democrat,4,11,1,40,0
301075,70,30,3,(3) 3. Independent,,10,20,70,40
301081,0,60,2,(1) 1. Democrat,4,9,11,30,60
301086,30,60,6,(2) 2. Republican,6,13,24,30,40
301087,40,50,3,(3) 3. Independent,4,17,9,60,50
301089,60,50,3,(3) 3. Independent,4,10,3,,0
301093,0,70,7,(2) 2. Republican,,14,19,30,85
301094,0,100,7,(2) 2. Republican,6,11,21,0,70
301096,40,60,2,(1) 1. Democrat,,10,19,70,85
301100,0,70,5,(3) 3. Independent,6,10,24,15,20
301101,0,70,7,(2) 2. Republican,6,13,12,0,60
301103,0,60,5,(3) 3. Independent,,9,3,30,50
301105,15,100,5,(3) 3. Independent,NA,9,12,15,85
301108,0,70,5,(5) 5. Other party SPECIFY,6,13,24,30,70
301110,30,70,5,(3) 3. Independent,NA,11,15,40,60
301111,70,0,5,(3) 3. Independent,5,13,28,50,50
301116,0,60,7,(2) 2. Republican,6,14,19,0,70
301117,30,15,4,(3) 3. Independent,NA,13,25,40,50
301119,85,0,1,(1) 1. Democrat,3,13,9,70,30
301121,40,60,5,(3) 3. Independent,4,12,22,40,50
301122,15,85,7,(2) 2. Republican,5,13,25,15,85
301125,15,70,5,(3) 3. Independent,6,10,25,40,40
301129,60,0,2,(1) 1. Democrat,4,13,26,60,40
301130,100,0,2,(1) 1. Democrat,2,14,25,70,15
301131,40,40,5,(3) 3. Independent,NA,5,9,30,
301134,60,0,3,(3) 3. Independent,3,9,11,70,70
301135,85,0,1,(1) 1. Democrat,2,13,21,70,30
301139,70,0,2,(1) 1. Democrat,5,13,12,70,15
301141,0,70,7,(2) 2. Republican,6,13,23,30,60
301143,85,0,2,(1) 1. Democrat,NA,9,20,85,40
301144,0,100,7,(2) 2. Republican,6,10,12,15,85
301145,0,60,7,(2) 2. Republican,6,14,17,0,60
301146,30,30,6,(2) 2. Republican,5,9,13,50,50
301147,60,0,1,(1) 1. Democrat,,14,23,50,15
301148,50,50,4,(0) 0. No preference (FTF ONLY),NA,6,1,50,50
301149,60,0,3,,,8,14,,
301150,60,0,3,(3) 3. Independent,,9,19,40,30
301155,60,80,6,(2) 2. Republican,6,8,8,60,10
301156,40,40,5,(3) 3. Independent,5,11,15,50,50
301158,0,85,7,(2) 2. Republican,5,13,22,30,70
301160,60,40,3,(3) 3. Independent,4,10,5,85,40
301162,15,60,3,(3) 3. Independent,,11,20,50,50
301164,0,85,7,(2) 2. Republican,,9,1,0,50
301166,15,30,6,(2) 2. Republican,3,10,24,30,70
301167,40,70,5,(3) 3. Independent,6,13,17,40,60
301169,0,0,4,(0) 0. No preference (FTF ONLY),2,9,1,50,50
